fec_id,state,district,incumbent,candidate_name,party,primary_votes,runoff_votes,general_votes,ge_winner
H0IN08148,IN,08,FALSE,"Risk, Kristi ",R,24960,0,0,N
H0IN09070,IN,09,TRUE,"Young, Todd",R,59327,0,165332,W
H0IN09088,IN,06,FALSE,"Hankins, Travis ",R,23276,0,0,N
H0KS02097,KS,02,FALSE,"Hawver, Dennis",L,0,0,12520,N
H0KS03137,KS,03,TRUE,"Yoder, Kevin",R,50270,0,201087,W
H0KS04051,KS,04,TRUE,"Pompeo, Mike",R,60195,0,161094,W
H0KS04101,KS,04,FALSE,"Tillman, Robert Leon",D,11224,0,81770,N
H0KY03226,KY,03,FALSE,"Wicker, Brooks",R,0,0,111452,N
H0KY05015,KY,05,TRUE,"Rogers, Harold ""Hal"" ",R,0,0,195408,W
H0KY06104,KY,06,FALSE,"Barr, Garland ""Andy""",R,20104,0,153222,W
H0LA01087,LA,01,TRUE,"Scalise, ""Steve""",R,0,0,193496,W
H0LA01186,LA,01,FALSE,"Wells, Arden",N,0,0,4288,N
H0LA03141,LA,03,TRUE,"Landry, ""Jeff"" ",R,0,0,93527,N
H0MA04119,MA,04,FALSE,"Brown, Rachel E.",D,2635,0,0,N
H0MA04127,MA,04,FALSE,"Bielat, Sean",R,14834,0,129936,N
H0MA05066,MA,03,FALSE,"Golnik, Jonathan A.",R,12928,0,109372,N
H0MA05108,MA,03,FALSE,"Weaver, Thomas J.M.",R,6527,0,0,N
H0MA09027,MA,04,FALSE,"Rosa, David A.",I,0,0,10741,N
H0MA10082,MA,09,TRUE,"Keating, William Richard",D,31366,0,212754,W
H0MD07056,MD,07,FALSE,"Smith, Charles U. ",W,0,0,28,N
H0MD07072,MD,07,FALSE,"Mirabile, Frank C. ",R,10849,0,67405,N
H0MD08138,MD,08,FALSE,"Grannis, Mark",L,0,0,7235,N
H0MI01088,MI,01,TRUE,"Benishek, Dan",R,64411,0,167060,W
H0MI01153,MI,01,FALSE,"McDowell, Gary",D,36339,0,165179,N
H0MI01187,MI,01,FALSE,"Boal, Ellis",G,0,0,4168,N
H0MI02086,MI,02,FALSE,"Graeser, Ronald E.",U,0,0,3176,N
H0MI02094,MI,02,TRUE,"Huizenga, Bill",R,58170,0,194653,W
H0MI03126,MI,03,TRUE,"Amash, Justin",R,51113,0,171675,W
H0MI06103,MI,06,FALSE,"Hoogendyk, Jack",R,23072,0,0,N
H0MI07093,MI,07,FALSE,"Davis, Dan",R,14386,0,0,N
H0MI07119,MI,07,FALSE,"Wunsch, Richard E.",G,0,0,3464,N
H0MI08042,MI,08,TRUE,"Rogers, Mike",R,56208,0,202217,W
H0MI08091,MI,08,FALSE,"Enderle, Lance",D,29322,0,128657,N
H0MI08109,MI,10,FALSE,"Dashairya, Bhagwan",L,0,0,4803,N
H0MI10071,MI,04,TRUE,"Camp, Dave",R,67028,0,197386,W
H0MI12127,MI,09,FALSE,"Volaric, Don",R,24521,0,114760,N
H0MI12135,MI,09,FALSE,"Williams, Julia",G,0,0,4708,N
H0MI13398,MI,14,TRUE,"Clarke, Hansen",D,30847,0,0,N
H0MI13414,MI,14,FALSE,"Hauler, John",R,17691,0,51395,N
H0MI14214,MI,11 - UNEXPIRED TERM,FALSE,"Sosnowski, Marc J.",U,0,0,6529,N
H0MN01037,MN,01,FALSE,"Quist, Allen",R,12540,0,142164,N
H0MN04049,MN,04,TRUE,"McCollum, Betty",D,27291,0,216685,W
H0MN04155,MN,04,FALSE,"Longrie, Diana",D,3212,0,0,N
H0MN04163,MN,04,FALSE,"Carlson, Steve",I,545,0,21135,N
H0MN06127,MN,08,FALSE,"Clark, Tarryl L.",D,17554,0,0,N
H0MN07059,MN,07,FALSE,"Byberg, Lee",R,0,0,114151,N
H0MN08115,MN,08,TRUE,"Cravaack, Chip",R,20471,0,160520,N
H0MO00019,MO,01,TRUE,"Carnahan, Russ",D,30943,0,0,N
H0MO01066,MO,01,TRUE,"Clay, Lacy",D,57791,0,267927,W
H0MO01124,MO,01,FALSE,"Britton, Candice",D,2570,0,0,N
H0MO01132,MO,01,FALSE,"Hamlin, Robyn",R,9737,0,60832,N
H0MO01140,MO,01,FALSE,"Baker, Martin D.",R,7085,0,0,N
H0MO01165,MO,02,FALSE,"Works, Marshall",D,4532,0,0,N
H0MO04086,MO,04,TRUE,"Hartzler, Vicky",R,71615,0,192237,W
H0MO04102,MO,04,FALSE,"Cowan, Greg",C,118,0,2959,N
H0MO05158,MO,05,FALSE,"Shawd, Ron Paul",R,1542,0,0,N
H0MO06073,MO,06,TRUE,"Graves, Sam",R,59388,0,216906,W
H0MO06156,MO,06,FALSE,"Rights, Ted",D,5118,0,0,N
H0MO06164,MO,06,FALSE,"Ryan, Christopher",R,9945,0,0,N
H0MO06172,MO,06,FALSE,"Yarber, Kyle",D,10242,0,108503,N
H0MO07113,MO,07,TRUE,"Long, Billy",R,62917,0,203565,W
H0MO07147,MO,07,FALSE,"Moon, Mike",R,22860,0,0,N
H0MO08244,MO,08,FALSE,"Parker, Bob",R,30429,0,0,N
H0MO08277,MO,08,FALSE,"Vandeven, Rick",L,164,0,10553,N
H0MO09143,MO,02,FALSE,"Baker, James O.",R,3185,0,0,N
H0MO09150,MO,03,FALSE,"Wilson, Steven",L,367,0,12353,N
H0MS01043,MS,01,TRUE,"Nunnelee, Alan",R,43518,0,186760,W
H0MS01050,MS,01,FALSE,"Ross, Henry",R,22067,0,0,N
H0MS02066,MS,02,FALSE,"Marcy, Bill",R,26041,0,99160,N
H0MS04120,MS,04,TRUE,"Palazzo, Steven M.",R,60897,0,182998,W
H0MT00074,MT,00,FALSE,"Rankin, Sam",D,9382,0,0,N
H0NC02059,NC,02,TRUE,"Ellmers, Renee",R,37661,0,174066,W
H0NC03107,NC,01,FALSE,"Holloman, Darryl ",L,0,0,6134,N
H0NC04139,NC,04,FALSE,"Hutchins, George Frank",R,5811,0,0,N
H0NC06142,NC,06,FALSE,"Yow, Billy",R,18057,0,0,N
H0NC07108,NC,07,FALSE,"Pantano, Ilario Gregory",R,31752,0,0,N
H0NC08163,NC,04,FALSE,"D'Annunzio, Tim",R,14065,0,88951,N
H0NC08221,NC,11,FALSE,"Hill, Tom",D,9049,0,0,N
H0NC10151,NC,08,FALSE,"Keadle, Scott",R,14687,6118,0,N
H0NC10169,NC,11,FALSE,"West, Kenny",R,26276,5471,0,N
H0NC13015,NC,13,FALSE,"Randall, Bill",R,19119,0,0,N
H0ND01026,ND,00,FALSE,"Cramer, Kevin",R,54405,0,173433,W
